Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"LogisticRegressionLearner(C=0.03, class_weight='balanced', random_state=0, max_iter=10000)",0.7738470415908385,0.809114662648478,0.8541472735289795,0.8179620324221343,0.6135937254156306,0.9530421472694474,0.8952967991167645,0.809114662648478
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=10000)",0.7755559501087487,0.8099642530817691,0.854975839500887,0.8187225801758496,0.6142460666173478,0.9525172404393927,0.8955951825311317,0.8099642530817691
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=10000)",0.7758666607483687,0.8100283731144703,0.855067323802419,0.8187717766401188,0.6140896744026081,0.9522758846122416,0.8956766078058634,0.8100283731144703
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.7758888543654845,0.8099963130981197,0.85504995536424,0.8187391907160165,0.6139666663501676,0.9521993735530437,0.8957055715970893,0.8099963130981197
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.8185671800790093,0.8484362727024991,0.8863868494730898,0.854734725629042,0.684363998656453,0.9664596598799885,0.9360427185816684,0.8484362727024991
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.8506813440454525,0.8791337383582065,0.9104513064133016,0.8837009802014729,0.7446093851776605,0.9792550201829238,0.9612767517152976,0.8791337383582065
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=5, random_state=0, class_weight='balanced')",0.9064539038572507,0.9122677652565603,0.9372067141660643,0.9142286893378591,0.7972688305936492,0.9701194745968029,0.9730708267176819,0.9122677652565603
"RandomForestLearner(n_estimators=100, min_samples_split=5, random_state=0, class_weight='balanced')",0.9252962847884948,0.914415786352051,0.9398239464400437,0.9153977680684058,0.7929922572839367,0.9548150692774533,0.9735175204996325,0.914415786352051
"RandomForestLearner(n_estimators=200, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.8192551822095965,0.8494461632175433,0.8871425138187936,0.8557031803490655,0.6866885184375916,0.9672973114616634,0.9363558426570544,0.8494461632175433
"RandomForestLearner(n_estimators=200, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.8496604376581295,0.8786207780965968,0.9100071309721892,0.8832376452453325,0.7440236558124399,0.97958139296863,0.9616933556922017,0.8786207780965968
