Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"LogisticRegressionLearner(C=0.03, class_weight='balanced', random_state=0, max_iter=10000)",0.7727272727272727,0.8089772362936839,0.853877470937362,0.8178758202400057,0.6144520718206353,0.9540721253973473,0.8959875766802754,0.8089772362936839
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=10000)",0.7745916193181818,0.8100673292722026,0.8548892808152068,0.818867036960549,0.615656095241367,0.9537603847835593,0.8960388225871624,0.8100673292722026
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=10000)",0.7741477272727273,0.8093619749919846,0.8543575172684074,0.8181924075719823,0.614006470697658,0.9531096294677014,0.8960447056172729,0.8093619749919846
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.7742365056818182,0.8092978518756011,0.8543299373040752,0.8181253778107169,0.6137094556636723,0.9529064685314685,0.8960404419578201,0.8092978518756011
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.8198686079545454,0.8509778775248477,0.8882369914398384,0.8571925084914304,0.6906450285214069,0.9690451206715635,0.9384075855093301,0.8509778775248477
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.8522727272727273,0.8802821417120872,0.9113779845255613,0.8847700431593346,0.7465501378341938,0.9792920534530246,0.9637583514429535,0.8802821417120872
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=5, random_state=0, class_weight='balanced')",0.9093572443181818,0.9168323180506572,0.9404581554423174,0.918703397975903,0.8083009326685492,0.9737617644262763,0.9757348376070506,0.9168323180506572
"RandomForestLearner(n_estimators=100, min_samples_split=5, random_state=0, class_weight='balanced')",0.9303089488636364,0.9198461045206797,0.943713976945245,0.9206964406569368,0.8056551559175511,0.9575109649122807,0.9759117179792616,0.9198461045206797
"RandomForestLearner(n_estimators=200, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.8244850852272727,0.8545046489259378,0.891138511730557,0.8604704417959276,0.6965609163412616,0.969516651007412,0.9385248361442875,0.8545046489259378
"RandomForestLearner(n_estimators=200, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.8512961647727273,0.8797050336646361,0.9108957917735347,0.8842408641157526,0.745731743757,0.9794688457609806,0.9643515125659883,0.8797050336646361
"RandomForestLearner(n_estimators=200, max_depth=20, min_samples_split=5, random_state=0, class_weight='balanced')",0.9085582386363636,0.9159345944212889,0.9398043987327241,0.9178343376397848,0.8062694499353984,0.9732762719923919,0.9759124764186835,0.9159345944212889
"RandomForestLearner(n_estimators=200, min_samples_split=5, random_state=0, class_weight='balanced')",0.9298650568181818,0.9194613658223789,0.9434336155647631,0.9203257113505932,0.8047956981510154,0.9574040219378428,0.976097381899913,0.9194613658223789
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=10, random_state=0, class_weight='balanced')",0.8201349431818182,0.850593138826547,0.8880130731519754,0.8567985632206522,0.6892294087083299,0.9681408509746384,0.9382619446419577,0.850593138826547
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.8527166193181818,0.8801538954793203,0.9113335547227098,0.8846222295950034,0.7457805555359412,0.978604177279674,0.9636266494622541,0.8801538954793203
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.90625,0.9153574863738377,0.9392712550607287,0.9173608399596235,0.8060672122948992,0.9747899159663865,0.9754796739874791,0.9153574863738377
"RandomForestLearner(n_estimators=100, min_samples_split=10, random_state=0, class_weight='balanced')",0.9190340909090909,0.9177300416800257,0.9416473370628099,0.9191360241642249,0.8053187808757407,0.9654014734682458,0.975767245518566,0.9177300416800257
"RandomForestLearner(n_estimators=200, max_depth=5, min_samples_split=10, random_state=0, class_weight='balanced')",0.8231534090909091,0.8525809554344341,0.8896991795806746,0.8586256261299415,0.6921490512386473,0.967950725545464,0.9383685976233705,0.8525809554344341
"RandomForestLearner(n_estimators=200, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.8508522727272727,0.879127925617185,0.9104640668788296,0.8836875397397979,0.7444386857627968,0.979058126468485,0.9642258268547574,0.879127925617185
"RandomForestLearner(n_estimators=200, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.9059836647727273,0.9152292401410709,0.9391680471194552,0.9172439673936396,0.8058728517826598,0.9748758119984715,0.9756585222025147,0.9152292401410709
"RandomForestLearner(n_estimators=200, min_samples_split=10, random_state=0, class_weight='balanced')",0.9202769886363636,0.9195896120551459,0.9429637041753843,0.9209660525081196,0.8098213141080549,0.9667972393210222,0.9760604131026848,0.9195896120551459
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=20, random_state=0, class_weight='balanced')",0.8203125,0.8516832318050658,0.888760640600202,0.8578705266266066,0.6923048372801038,0.9696715290166859,0.9381216435980825,0.8516832318050658
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=20, random_state=0, class_weight='balanced')",0.8504971590909091,0.8793844180827188,0.9106031082172901,0.8839584837276205,0.7455085534943505,0.9798506699396543,0.9636354740074201,0.8793844180827188
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=20, random_state=0, class_weight='balanced')",0.9029651988636364,0.9141391471625521,0.9382408560490753,0.9162859709533698,0.8047172520439362,0.976384755687818,0.9755460271877165,0.9141391471625521
"RandomForestLearner(n_estimators=100, min_samples_split=20, random_state=0, class_weight='balanced')",0.9087357954545454,0.9154857326066047,0.9395135383203305,0.9173721709700867,0.8049047050232904,0.9724491734752042,0.9754532003519814,0.9154857326066047
"RandomForestLearner(n_estimators=200, max_depth=5, min_samples_split=20, random_state=0, class_weight='balanced')",0.8193359375,0.8507855081756973,0.8880442626894395,0.8570269314450344,0.6906062362931724,0.9693309526310262,0.9379728664812084,0.8507855081756973
"RandomForestLearner(n_estimators=200, max_depth=10, min_samples_split=20, random_state=0, class_weight='balanced')",0.8492542613636364,0.8788073100352677,0.9100941870421463,0.8834412632976949,0.744936636258979,0.9803238368518139,0.9638787690749563,0.8788073100352677
"RandomForestLearner(n_estimators=200, max_depth=20, min_samples_split=20, random_state=0, class_weight='balanced')",0.9025213068181818,0.9138185315806349,0.9379959402103709,0.9159836726519546,0.8041000621410624,0.97637341529005,0.9755865934476082,0.9138185315806349
"RandomForestLearner(n_estimators=200, min_samples_split=20, random_state=0, class_weight='balanced')",0.9095348011363636,0.9158063481885219,0.939778929505114,0.917657857877936,0.8053224140017249,0.9721036151437518,0.9757145442279236,0.9158063481885219
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=5, min_samples_split=10)",0.8607066761363636,0.8339211285668483,0.8821656050955414,0.8367917011116609,0.6036898834184203,0.904721911160881,0.8685892702878036,0.8339211285668483
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=10)",0.8528053977272727,0.8532221865982687,0.8935398353564951,0.8574957158866059,0.6668691780974775,0.9383608479046596,0.892355482032939,0.8532221865982687
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=10)",0.8903586647727273,0.882077588970824,0.9160158925880257,0.8843820191421846,0.7220472631859532,0.9431957114643092,0.9270179982184463,0.882077588970824
